#Types Before Cut: 7895
#Types After Cut: 6972
#Search Hits: 0
244	8	26.902	здорово
245	8	26.902	лиля
246	8	26.902	лёва
247	8	26.902	мамо
248	8	26.902	мемы
249	8	26.902	неё
250	8	26.902	переехали
251	8	26.902	смешок
252	8	26.902	смотри
253	8	26.902	тво
254	8	26.902	тесь
255	8	26.902	утра
256	8	26.902	училась
257	8	26.902	эт
258	13	26.813	сто
259	11	26.652	ерт
260	11	26.652	купил
261	11	26.652	маленьки
262	12	26.577	купить
263	241	26.386	он
264	15	25.803	кому
265	20	25.630	моя
266	29	25.420	здесь
267	14	25.115	тему
268	14	25.115	хоть
269	18	25.091	таки
270	17	24.177	куда
271	9	24.175	едем
272	9	24.175	историю
273	9	24.175	мать
274	9	24.175	получилось
275	9	24.175	понял
276	15	24.016	друг
277	12	24.006	семье
278	12	24.006	ста
279	10	23.638	какими
280	10	23.638	честно
281	7	23.539	бывают
282	7	23.539	восемьдесят
283	7	23.539	говоришь
284	7	23.539	детство
285	7	23.539	забыл
286	7	23.539	красивы
287	7	23.539	круто
288	7	23.539	моих
289	7	23.539	ненавижу
290	7	23.539	ноль
291	7	23.539	поговорить
292	7	23.539	пятьдесят
293	7	23.539	ребенок
294	7	23.539	студентов
295	7	23.539	учитель
296	90	23.232	про
297	14	23.228	жить
298	123	22.520	уже
299	101	22.406	или
300	19	21.099	кажды
301	8	21.035	брали
302	8	21.035	вдруг
303	8	21.035	квартире
304	8	21.035	рассказывала
305	8	21.035	родителе
306	15	20.909	хотел
307	10	20.818	бывает
308	10	20.818	вещи
309	10	20.818	нормально
310	101	20.791	час
311	9	20.657	мно
312	9	20.657	смотреть
313	6	20.176	антифриз
314	6	20.176	бабуля
315	6	20.176	бешбармак
316	6	20.176	бутово
317	6	20.176	вау
318	6	20.176	выпускно
319	6	20.176	гончар
320	6	20.176	ехать
321	6	20.176	жигули
322	6	20.176	иду
323	6	20.176	кадром
324	6	20.176	квартиры
325	6	20.176	колесо
326	6	20.176	коллектив
327	6	20.176	кормила
328	6	20.176	лук
329	6	20.176	мгм
330	6	20.176	мем
331	6	20.176	минуты
332	6	20.176	нету
333	6	20.176	неудобно
334	6	20.176	никит
335	6	20.176	орешки
336	6	20.176	погре
337	6	20.176	причём
338	6	20.176	пятнад
339	6	20.176	саш
340	6	20.176	слуша
341	6	20.176	спал
342	6	20.176	сынок
343	6	20.176	убира
344	6	20.176	учился
345	6	20.176	учителе
346	6	20.176	учителем
347	6	20.176	учителя
348	6	20.176	читаю
349	6	20.176	чувак
350	6	20.176	этаж
351	37	20.170	эту
352	21	20.092	чего
353	14	19.996	часов
354	12	19.910	завтра
355	12	19.910	минус
356	21	19.185	делать
357	86	18.658	были
358	45	18.625	те
359	10	18.523	другую
360	28	18.493	себя
361	20	18.187	две
362	9	18.004	пожалу
363	9	18.004	пришла
364	9	18.004	скажем
365	9	18.004	считаю
366	7	17.923	домо
367	7	17.923	женщины
368	7	17.923	интересные
369	7	17.923	маленькая
370	7	17.923	нечего
371	7	17.923	понравились
372	7	17.923	твоя
373	8	17.718	берут
374	8	17.718	купила
375	8	17.718	лек
376	8	17.718	машине
377	8	17.718	написано
378	8	17.718	нравятся
379	8	17.718	пошел
380	8	17.718	ходят
381	46	17.714	тогда
382	13	17.655	минут
383	24	17.400	люде
384	14	17.313	семьи
385	5	16.814	арахис
386	5	16.814	боже
387	5	16.814	венера
388	5	16.814	вложил
389	5	16.814	волосы
390	5	16.814	восемнад
391	5	16.814	выставках
392	5	16.814	гешу
393	5	16.814	грязь
394	5	16.814	давали
395	5	16.814	делаем
396	5	16.814	ильямиха
397	5	16.814	имею
398	5	16.814	инопланетян
399	5	16.814	интересного
400	5	16.814	камеру
401	5	16.814	классов
402	5	16.814	комнате
403	5	16.814	крестик
